Child,Adult,Electric,Racing,Mountain,Tricycle
0.7931,0.7496,0.1268,0.4104,0.5054,0.9223
0.5306,0.6646,0.4667,0.8313,0.7954,0.2174
0.0306,0.4044,0.2428,0.2024,0.1246,0.6572
0.0661,0.989,0.2406,0.6345,0.9537,0.9899
0.2761,0.5027,0.2745,0.5758,0.4294,0.0016
0.3892,0.598,0.3463,0.0043,0.8926,0.0506
0.8498,0.8756,0.0244,0.5538,0.8131,0.1229
0.032,0.309,0.1287,0.9365,0.3804,0.628
0.8128,0.6477,0.1467,0.1107,0.7523,0.1994
0.1742,0.2076,0.1781,0.5845,0.9051,0.135
0.8547,0.7852,0.535,0.9771,0.4945,0.1669
0.1506,0.4128,0.0689,0.7725,0.187,0.1211
0.8747,0.8763,0.4876,0.0009,0.7397,0.8034
0.4426,0.8117,0.2353,0.8329,0.3904,0.8034
0.5055,0.1913,0.2456,0.0229,0.6952,0.9317
0.0519,0.7682,0.0535,0.5641,0.1666,0.7795
0.4871,0.8707,0.4432,0.208,0.078,0.9238
0.2281,0.7235,0.8463,0.8837,0.2664,0.6987
0.0559,0.9275,0.6679,0.3222,0.7256,0.602
0.3349,0.9615,0.4285,0.5518,0.5595,0.7199
0.3399,0.9485,0.3537,0.8475,0.5924,0.0072
0.2692,0.2478,0.2681,0.7251,0.3153,0.6023
0.5752,0.2282,0.7457,0.9836,0.5365,0.2443
0.0894,0.3256,0.7093,0.1355,0.5481,0.4564
0.878,0.1642,0.8446,0.0951,0.3329,0.1512
0.4472,0.7712,0.3917,0.0219,0.2222,0.6158
0.4552,0.6012,0.8149,0.6281,0.4771,0.3979
0.0081,0.1731,0.4516,0.5716,0.9503,0.5272
0.7749,0.3616,0.6735,0.1616,0.6447,0.9602
0.789,0.6306,0.8072,0.242,0.8964,0.397
0.5048,0.5073,0.7269,0.6265,0.6577,0.5015
0.1842,0.1778,0.6722,0.994,0.0892,0.7295
0.2654,0.4514,0.925,0.2553,0.2141,0.0537
0.8206,0.5085,0.8725,0.7898,0.2432,0.8693
0.3071,0.6058,0.964,0.0032,0.2918,0.0426
0.2684,0.0925,0.933,0.0228,0.6098,0.7707
0.8806,0.6315,0.6002,0.4028,0.6418,0.6315
0.7361,0.731,0.134,0.0799,0.5835,0.0495
0.5395,0.908,0.1238,0.9453,0.8446,0.5902
0.6689,0.9097,0.0146,0.275,0.1598,0.2793
0.9913,0.7046,0.1559,0.8484,0.0896,0.4933
0.0588,0.7782,0.3115,0.548,0.8511,0.3243
0.9363,0.6542,0.1453,0.4196,0.6735,0.8408
0.1603,0.756,0.4177,0.545,0.9442,0.2928
0.5264,0.931,0.3179,0.6748,0.8056,0.9139
0.5255,0.7746,0.5952,0.3874,0.1236,0.3992
0.6603,0.6541,0.7268,0.3886,0.7155,0.8472
0.3622,0.5957,0.4959,0.3103,0.0271,0.3107
0.8417,0.5919,0.795,0.1313,0.8186,0.6442
0.0529,0.0578,0.2338,0.1998,0.8351,0.8301
0.0,0.6976,0.2856,0.364,0.3266,0.003
0.0,0.8742,0.843,0.5305,0.8055,0.9623
0.0,0.2305,0.9046,0.8585,0.1087,0.0
0.0,0.6456,0.9704,0.0639,0.1486,0.0
0.0,0.3523,0.9762,0.0527,0.1323,0.0
0.0,0.2832,0.0231,0.2088,0.2404,0.0
0.0,0.0,0.0362,0.043,0.9866,0.0
0.0,0.0,0.2496,0.0,0.9634,0.0
0.0,0.0,0.8856,0.0,0.4578,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
