Child,Adult,Electric,Racing,Mountain,Tricycle
3.3238,81.2511,15.7238,18.9437,81.1827,0.7016
11.2415,10.3905,41.3629,40.3242,80.8068,63.4563
42.3879,70.3053,68.3287,52.3328,30.7437,57.167
58.915,0.1004,86.4796,36.1286,13.5877,74.4475
33.1497,43.2226,35.985,69.0018,86.5286,58.4462
76.0721,22.9166,60.3694,34.0126,55.1488,63.1708
75.3035,3.9373,33.6737,11.0432,45.3243,61.3019
18.4441,20.4283,16.8267,12.0174,46.6962,60.8076
73.0964,85.8333,13.7078,13.2184,10.1446,70.0979
22.0227,1.0594,19.5488,0.9884,28.8006,7.585
25.3517,25.9392,47.4734,68.1376,44.3005,16.6559
70.3896,70.86,24.801,23.9009,10.3737,12.1031
52.6335,76.367,1.6759,43.2506,67.6755,12.1139
57.0369,37.4213,63.273,83.9782,23.803,26.7223
68.3596,27.6011,64.3255,69.0558,8.6494,22.8329
41.9299,64.6523,76.9666,76.8846,58.4584,22.0939
56.3666,82.308,86.5659,81.8147,4.5248,34.0421
83.8878,55.5435,13.6664,3.7933,30.069,49.8875
70.7443,75.7024,81.0505,84.9416,20.666,41.5272
63.6173,51.0746,5.2191,86.1122,2.1916,72.0912
63.7835,44.6968,52.2577,76.6687,61.1348,27.1837
39.1623,12.4158,12.4147,61.2458,66.9819,86.1746
52.9614,75.6383,44.8389,13.4546,86.7744,73.2979
66.7165,83.6554,27.8911,19.611,6.6362,84.9911
19.7367,46.3492,78.6289,69.7733,61.3992,41.9412
62.5221,30.0641,0.0141,53.262,44.6571,58.8069
4.4521,55.022,45.158,55.3543,47.8383,46.6547
16.4296,18.4744,69.7873,3.0921,2.9545,28.5939
30.6055,32.8097,9.7378,3.7094,54.7937,76.6362
26.1493,56.3769,75.7205,77.3753,44.517,9.1183
50.8202,62.366,46.2599,7.3541,8.1701,74.0508
78.516,58.1162,81.596,35.6594,57.4672,70.0192
22.7152,45.8293,44.8971,3.1097,51.3025,24.1563
14.3108,6.7081,62.7965,55.4503,51.0044,4.7705
75.6122,26.8013,48.2741,12.7292,9.3755,30.9887
0.9564,57.3479,50.3343,28.3832,67.2471,6.2014
37.4413,25.413,85.6525,65.4613,86.8357,21.9582
59.3425,75.9119,82.013,28.6833,17.3445,32.2944
14.4391,40.7038,26.9135,10.1219,56.5437,27.5609
82.8998,78.6593,17.8068,2.7223,72.4799,43.0228
26.3189,37.7775,32.3262,23.1602,71.3749,65.967
14.6559,27.421,72.1583,12.9302,25.4896,0.3338
8.4881,31.2238,69.0099,64.425,32.9013,26.6634
66.2334,60.8059,29.2464,49.6479,55.9374,36.0882
40.2176,16.0368,69.2658,36.1913,27.6278,21.5937
39.1492,79.2203,67.2914,15.1093,61.1449,76.6096
26.8218,5.5757,19.121,35.5842,24.5857,4.02
24.3763,71.2636,32.8923,53.1527,56.9094,39.4528
74.9852,26.4724,2.2928,59.8461,25.3285,76.7047
68.7442,83.5228,33.557,27.0588,57.5539,52.9852
47.9869,4.1679,39.6379,24.1328,13.6455,46.3467
73.2532,52.4593,42.6982,69.0947,31.3212,66.9802
72.2683,49.6052,17.5744,63.3533,1.7725,47.5398
68.5899,34.0952,73.3758,11.8312,16.5599,77.5744
23.7015,18.7191,76.7646,83.3804,23.3415,66.8595
27.4062,54.5787,61.997,44.8371,41.2544,41.1041
32.8582,37.6838,73.779,43.2902,46.4327,15.9298
81.6414,86.8887,57.604,46.3283,58.1064,1.7952
32.942,71.6348,19.0218,31.488,8.2079,0.0384
25.35,48.1452,55.2278,69.9652,34.381,69.4465
18.4002,51.4672,75.7705,25.9048,52.9304,45.1828
45.1932,66.6144,20.3105,49.7766,30.4285,9.13
27.1152,31.8227,85.062,50.3731,86.1092,59.8759
40.9663,8.8394,64.8947,15.7508,84.7447,49.807
70.3881,10.743,16.6354,41.749,72.7618,10.1079
5.4678,74.8498,18.9061,45.1928,53.8283,5.5404
27.2127,61.4423,26.6668,2.8603,4.2677,18.9739
68.4817,71.5702,66.1365,67.7928,64.5432,62.2929
1.1097,37.947,41.2219,64.3184,55.9393,2.0682
62.1036,85.9284,28.1171,24.7449,82.6596,16.2809
46.0024,66.4099,10.691,64.5174,10.7006,32.3576
32.308,59.9714,45.435,12.8042,3.5849,0.0
52.5437,59.7408,11.0463,53.8364,1.7528,0.0
60.5018,57.4951,63.4201,59.5325,76.526,0.0
78.1711,49.1022,5.0446,0.0,53.0129,0.0
3.6907,8.7725,25.8154,0.0,39.4258,0.0
60.4071,13.5951,29.7863,0.0,9.8878,0.0
67.0959,6.4214,49.8863,0.0,80.8747,0.0
10.3126,9.9834,43.5351,0.0,80.7264,0.0
34.0821,20.3946,34.835,0.0,43.9134,0.0
0.0,30.636,75.5296,0.0,42.7643,0.0
0.0,71.0395,60.6094,0.0,0.0,0.0
0.0,41.8355,73.5305,0.0,0.0,0.0
0.0,16.3724,41.267,0.0,0.0,0.0
0.0,0.0,14.3602,0.0,0.0,0.0
0.0,0.0,21.3916,0.0,0.0,0.0
0.0,0.0,75.1135,0.0,0.0,0.0
0.0,0.0,71.5367,0.0,0.0,0.0
0.0,0.0,19.1567,0.0,0.0,0.0
0.0,0.0,83.8296,0.0,0.0,0.0
0.0,0.0,21.6536,0.0,0.0,0.0
0.0,0.0,43.5901,0.0,0.0,0.0
0.0,0.0,81.7534,0.0,0.0,0.0
0.0,0.0,16.4702,0.0,0.0,0.0
0.0,0.0,52.1229,0.0,0.0,0.0
0.0,0.0,82.4365,0.0,0.0,0.0
0.0,0.0,67.4827,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
