Child,Adult,Electric,Racing,Mountain,Tricycle
51.587,41.8512,13.4925,75.5565,78.3228,2.5918
26.077,44.3272,5.6655,58.8861,47.6639,60.4381
74.762,11.0749,48.2025,25.6256,48.2281,73.4442
63.4112,8.296,2.6595,53.924,45.597,28.2691
51.2866,92.5097,50.4486,86.1784,73.7051,2.6633
41.3112,37.1033,70.8872,7.692,90.8656,71.7842
83.5992,50.7731,4.5308,37.653,87.7843,65.1056
4.7466,83.0224,14.5595,49.0129,80.0183,51.1191
31.5333,55.2865,85.1717,8.9011,62.9221,45.7244
39.825,38.8391,68.9331,59.0134,52.37,94.7391
44.1658,42.2551,81.2738,57.7355,54.7279,96.6341
3.9528,65.4066,2.8604,56.3717,48.9735,62.5676
46.5235,90.3193,69.3286,90.3064,52.6122,77.3189
11.8205,68.7898,88.6548,10.4584,58.0525,12.925
57.1999,55.1308,54.9321,19.6507,60.5886,35.0382
88.6654,1.3718,93.8828,12.6332,21.9437,35.1053
65.7896,0.1556,50.4292,21.2843,28.4976,38.5721
13.862,59.4657,48.4804,20.1754,57.06,45.8434
87.0417,95.691,52.2241,67.9622,25.9176,54.2051
21.4322,10.2543,28.5576,6.6979,88.983,62.5391
95.119,24.8966,26.0196,14.6257,24.909,90.81
1.2752,40.3585,18.4836,11.0753,13.5351,26.5456
60.1996,54.9232,0.7644,66.0994,39.3989,46.4337
93.0148,88.4054,85.3437,80.9832,58.3266,52.75
71.1805,54.765,79.6451,14.9039,45.4263,88.998
11.5435,22.1187,73.5322,62.3314,38.1027,0.6081
52.9496,83.1717,1.2008,31.8888,39.5902,39.7911
37.5416,26.9046,49.6054,57.8918,50.1907,73.781
51.9435,19.55,78.3213,78.2547,51.1283,69.8155
39.5472,21.3633,53.2282,22.9304,19.3024,59.0596
96.8794,90.5214,67.9547,68.9515,80.2775,52.2625
54.2437,62.0983,21.1926,61.324,59.8141,66.624
4.3251,0.312,70.83,18.3671,88.191,14.082
90.452,30.2427,73.1971,24.2782,34.1243,10.7051
60.0164,31.2539,14.4574,45.9084,28.5082,69.2227
51.146,49.1033,4.7048,4.5761,87.1849,53.5982
82.6282,82.8464,82.2694,3.6952,17.5219,92.8988
54.7434,1.6803,1.2277,43.1613,60.965,10.2005
3.6908,32.6395,66.2065,13.2248,94.3119,17.1908
14.8101,4.2803,89.5177,62.6012,9.8183,23.8503
87.9466,64.0005,21.3996,24.743,26.2296,11.0936
89.5567,79.7417,10.1485,92.9134,96.8895,78.1577
57.4349,29.8313,95.1061,61.5412,38.332,84.9445
72.9327,58.1599,73.8791,60.2418,66.0693,89.706
61.6482,8.0408,39.3414,72.6322,64.8058,52.4361
74.1415,0.3699,89.9254,0.2776,95.2926,64.594
23.64,39.927,60.984,18.1696,58.6351,79.4238
61.4821,43.032,73.1788,27.6659,31.6886,39.6628
93.9153,24.8033,74.7457,77.9194,41.371,64.977
35.1837,33.174,41.8031,46.5592,47.3695,71.1514
6.671,39.3751,16.5745,91.9368,41.3605,18.2311
55.8249,53.3315,72.8139,80.3993,5.2644,79.5984
46.0982,35.9361,14.07,9.6742,68.2888,9.0164
82.1802,56.8196,70.3691,91.1004,6.9553,31.4794
37.1949,35.6605,34.2508,27.532,14.9886,16.549
45.9634,42.6644,69.2766,54.5425,85.9135,87.9723
57.6744,69.308,21.8516,93.573,82.2343,17.5793
30.4876,5.6969,44.0162,20.1182,55.288,42.8935
94.344,28.788,0.6053,67.295,26.7173,42.3496
56.4317,93.4186,51.5696,63.4062,72.1199,45.2254
1.8212,26.2443,39.6354,93.4137,18.9623,12.218
82.1433,10.1847,26.2125,43.5127,61.6885,34.534
79.5514,26.3652,81.6179,73.3591,78.9513,52.9913
76.8478,5.8367,29.7656,56.7994,63.6822,57.4057
73.6801,45.4487,91.1583,48.2597,49.1577,26.0373
55.2079,95.9817,65.3536,45.7147,34.7716,82.9475
65.6086,77.5945,11.3237,68.4613,70.9289,66.7391
65.754,57.1502,94.6325,72.6343,40.627,69.6392
28.24,75.6481,47.3408,74.2774,7.7837,45.9053
4.527,11.1668,28.9586,43.7163,56.0787,40.2837
48.2369,65.0825,42.9806,59.1135,36.5285,57.916
21.038,14.8352,73.8678,2.5598,64.0912,95.7741
41.6967,6.3834,41.4642,96.7574,34.6221,10.4952
19.7062,33.2594,22.3574,74.6321,78.5914,39.8518
71.624,30.9984,62.4803,62.1773,23.4733,74.7945
18.7442,95.1955,5.3916,91.6233,73.8534,87.2628
13.6617,43.5956,52.643,12.3257,20.3602,30.0987
72.3226,35.574,5.245,24.828,1.0848,92.7116
7.7133,64.8204,0.0,39.5524,61.6745,11.6969
4.9797,74.3886,0.0,35.9994,43.1039,7.6532
88.5726,18.4968,0.0,6.6092,24.9101,10.322
35.3245,39.9689,0.0,48.1053,62.9835,25.4029
68.4466,79.147,0.0,71.896,12.7536,36.8788
42.1341,70.1195,0.0,73.5948,62.3968,31.1119
95.6086,64.3077,0.0,35.8842,67.4282,48.0101
47.5798,4.1928,0.0,21.8244,53.2977,94.3665
17.782,1.613,0.0,55.3958,36.2185,4.5202
14.7205,65.1513,0.0,96.5601,50.8427,60.3575
13.2663,40.194,0.0,53.0741,19.6607,63.963
22.1852,26.938,0.0,18.0162,25.4263,0.9334
44.9528,57.9243,0.0,63.8417,9.0155,96.4886
56.8369,87.9538,0.0,36.8583,49.3015,82.6312
92.7014,90.323,0.0,7.0449,31.6551,89.0675
15.0364,49.6237,0.0,84.5519,37.7313,62.4582
88.0027,60.1743,0.0,5.6585,70.7595,83.2978
92.5754,54.4076,0.0,96.2246,61.5641,40.2744
65.7999,74.1767,0.0,85.8868,95.153,13.8845
55.1682,0.0,0.0,73.2026,16.439,33.4508
38.5117,0.0,0.0,10.1075,62.2847,94.7895
95.6105,0.0,0.0,29.2547,92.4663,44.0738
57.4795,0.0,0.0,76.5869,35.0203,3.8496
15.5966,0.0,0.0,3.4258,6.2912,47.5125
86.8002,0.0,0.0,73.2998,93.3461,67.0929
23.4322,0.0,0.0,29.1584,79.5683,38.5871
27.9486,0.0,0.0,40.3609,23.3845,58.1006
0.0,0.0,0.0,0.0,49.4548,51.6605
0.0,0.0,0.0,0.0,25.4213,71.5963
0.0,0.0,0.0,0.0,71.1289,78.7146
0.0,0.0,0.0,0.0,0.0,83.1585
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
