Child,Adult,Electric,Racing,Mountain,Tricycle
0.1331,0.2637,0.0317,0.4305,0.4959,0.909
0.8234,0.8267,0.331,0.6806,0.98,0.1738
0.0001,0.2368,0.5481,0.6413,0.1211,0.5439
0.1559,0.9601,0.0372,0.3078,0.5508,0.0368
0.0701,0.6062,0.193,0.7688,0.5852,0.9745
0.3372,0.7224,0.3196,0.5043,0.8635,0.0715
0.9975,0.0921,0.9096,0.1822,0.3402,0.3616
0.7399,0.9696,0.531,0.6655,0.4944,0.8474
0.0039,0.9323,0.1943,0.1047,0.556,0.5572
0.2779,0.7831,0.65,0.969,0.3869,0.9128
0.9102,0.6125,0.9814,0.1454,0.6071,0.3562
0.6941,0.0563,0.8215,0.0704,0.0,0.5469
0.5983,0.9466,0.0632,0.1508,0.1386,0.7641
0.718,0.7709,0.3721,0.0343,0.1633,0.7218
0.2773,0.4508,0.2593,0.0846,0.0663,0.4475
0.4851,0.3953,0.4494,0.332,0.2754,0.1561
0.2794,0.2857,0.5036,0.5781,0.1888,0.3023
0.5672,0.7849,0.9622,0.6607,0.9978,0.1522
0.2817,0.2597,0.8993,0.4583,0.491,0.5794
0.4341,0.5111,0.5509,0.3592,0.4757,0.7156
0.7629,0.8588,0.3222,0.23,0.4394,0.4215
0.4588,0.0462,0.9199,0.5008,0.1475,0.3371
0.9146,0.3411,0.5376,0.0501,0.8552,0.053
0.1531,0.5309,0.4906,0.0925,0.4216,0.087
0.8945,0.3382,0.6606,0.5841,0.4563,0.4919
0.2627,0.5456,0.0265,0.869,0.1703,0.5532
0.9355,0.7249,0.6883,0.2841,0.723,0.0162
0.2017,0.3431,0.9703,0.9704,0.2397,0.2994
0.6218,0.9982,0.3348,0.9403,0.4854,0.7036
0.4189,0.4483,0.9668,0.2968,0.0484,0.8607
0.2383,0.304,0.2279,0.6224,0.5665,0.8015
0.5515,0.5337,0.8517,0.0652,0.0047,0.0649
0.3965,0.5616,0.6547,0.9251,0.7899,0.0249
0.8409,0.9605,0.9024,0.2144,0.9368,0.4998
0.5403,0.0517,0.3697,0.3113,0.7336,0.5759
0.714,0.0249,0.2771,0.4086,0.6663,0.4426
0.1387,0.7272,0.3791,0.1268,0.8183,0.4457
0.0332,0.1765,0.4967,0.902,0.3551,0.54
0.3374,0.9813,0.9204,0.883,0.3372,0.7254
0.174,0.4171,0.402,0.9249,0.4056,0.8566
0.7642,0.2578,0.6663,0.1129,0.5487,0.9966
0.5277,0.6215,0.8867,0.6875,0.775,0.8616
0.5678,0.741,0.4025,0.0121,0.6269,0.5502
0.3909,0.8538,0.3836,0.364,0.5126,0.7383
0.4988,0.4845,0.9862,0.0638,0.4022,0.7897
0.4797,0.3249,0.2483,0.4,0.6701,0.3689
0.664,0.3383,0.9335,0.1044,0.2605,0.6664
0.6624,0.1023,0.4209,0.7047,0.9874,0.1847
0.7774,0.3967,0.5259,0.1142,0.1855,0.3589
0.9426,0.9811,0.222,0.7007,0.2839,0.9792
0.2141,0.1816,0.0761,0.408,0.7534,0.1461
0.5611,0.8746,0.3198,0.162,0.1903,0.195
0.7015,0.9849,0.7963,0.3031,0.7025,0.9675
0.0,0.5753,0.4776,0.3018,0.5903,0.7023
0.0,0.9143,0.6551,0.5537,0.5786,0.8704
0.0,0.0465,0.0616,0.0,0.0186,0.4195
0.0,0.4175,0.5721,0.0,0.6761,0.3197
0.0,0.2392,0.7992,0.0,0.3256,0.8022
0.0,0.1438,0.3033,0.0,0.8324,0.3854
0.0,0.0,0.7042,0.0,0.4059,0.4307
0.0,0.0,0.8652,0.0,0.2035,0.8538
0.0,0.0,0.0357,0.0,0.7077,0.5697
0.0,0.0,0.3937,0.0,0.9992,0.2822
0.0,0.0,0.8295,0.0,0.0,0.0867
0.0,0.0,0.3729,0.0,0.0,0.6214
0.0,0.0,0.0523,0.0,0.0,0.0155
0.0,0.0,0.6353,0.0,0.0,0.0927
0.0,0.0,0.6393,0.0,0.0,0.3501
0.0,0.0,0.9724,0.0,0.0,0.0
0.0,0.0,0.2607,0.0,0.0,0.0
0.0,0.0,0.968,0.0,0.0,0.0
